ensemble_size, batch_size, trial_num, h2d (ms), kernel (ms), d2h (ms)
999, 400, 27, 0.00784, 0.169984, 0.464992
999, 400, 28, 0.007584, 0.165888, 0.470432
999, 400, 29, 0.007296, 0.16384, 0.463808
999, 400, 30, 0.007072, 0.166912, 0.456224
999, 400, 31, 0.007392, 0.167936, 0.465792
999, 400, 32, 0.007456, 0.16384, 0.466272
999, 400, 33, 0.007392, 0.161792, 0.450368
999, 400, 34, 0.008256, 0.161792, 0.467872
999, 400, 35, 0.007488, 0.16384, 0.431264
999, 400, 36, 0.008224, 0.178176, 0.470432
999, 400, 37, 0.008256, 0.162816, 0.480192
999, 400, 38, 0.007744, 0.164864, 0.464608
999, 400, 39, 0.007872, 0.164864, 0.419872
999, 400, 40, 0.008, 0.160768, 0.412672
999, 400, 41, 0.006944, 0.161792, 0.462176
999, 400, 42, 0.007136, 0.16384, 0.45408
999, 400, 43, 0.007328, 0.164864, 0.449088
999, 400, 44, 0.007136, 0.161792, 0.452224
999, 400, 45, 0.007744, 0.165888, 0.446912
999, 400, 46, 0.007744, 0.161792, 0.460448
999, 400, 47, 0.007264, 0.16384, 0.49296
999, 400, 48, 0.00784, 0.167936, 0.464096
999, 400, 49, 0.0072, 0.164864, 0.432736
999, 800, 0, 0.010368, 0.259072, 0.841696
999, 800, 1, 0.009312, 0.243712, 0.808768
999, 800, 2, 0.008832, 0.241664, 0.81344
999, 800, 3, 0.009632, 0.24576, 0.83248
999, 800, 4, 0.0096, 0.246784, 0.823296
999, 800, 5, 0.009344, 0.242688, 0.828704
999, 800, 6, 0.00944, 0.243712, 0.76416
999, 800, 7, 0.010112, 0.243712, 0.816416
999, 800, 8, 0.009696, 0.239616, 0.811392
999, 800, 9, 0.009216, 0.243808, 0.745696
999, 800, 10, 0.009312, 0.241664, 0.802304
999, 800, 11, 0.00992, 0.239616, 0.819648
999, 800, 12, 0.009152, 0.243712, 0.843616
999, 800, 13, 0.009792, 0.262144, 0.744128
999, 800, 14, 0.009376, 0.241664, 0.79056
999, 800, 15, 0.009504, 0.242688, 0.73632
999, 800, 16, 0.010848, 0.25088, 0.834688
999, 800, 17, 0.010656, 0.242688, 0.81936
999, 800, 18, 0.009952, 0.242688, 0.890944
999, 800, 19, 0.010112, 0.24576, 0.838432
999, 800, 20, 0.009792, 0.241664, 0.839808
999, 800, 21, 0.009504, 0.24512, 0.832544
999, 800, 22, 0.009376, 0.249856, 0.849216
999, 800, 23, 0.009792, 0.246784, 0.831168
999, 800, 24, 0.009088, 0.243712, 0.837664
999, 800, 25, 0.009504, 0.243712, 0.836928
999, 800, 26, 0.00944, 0.247808, 0.749024
999, 800, 27, 0.010016, 0.243712, 0.838624
999, 800, 28, 0.009344, 0.244736, 0.839968
999, 800, 29, 0.00928, 0.24576, 0.752544
999, 800, 30, 0.00928, 0.247808, 0.86512
