ensemble_size, batch_size, trial_num, predict (ms)
999,10000,24,11.0654
999,10000,25,11.072
999,10000,26,11.0695
999,10000,27,11.092
999,10000,28,21.463
999,10000,29,11.4065
999,10000,30,11.1157
999,10000,31,11.0871
999,10000,32,11.0712
999,10000,33,11.1097
999,10000,34,11.0766
999,10000,35,11.116
999,10000,36,21.9527
999,10000,37,11.1874
999,10000,38,11.1794
999,10000,39,11.0551
999,10000,40,11.0713
999,10000,41,11.193
999,10000,42,11.0754
999,10000,43,14.5064
999,10000,44,23.7131
999,10000,45,14.8998
999,10000,46,11.1819
999,10000,47,11.1465
999,10000,48,11.3973
999,10000,49,11.216
900,1,0,0.906662
900,1,1,0.209238
900,1,2,0.198707
900,1,3,0.190247
900,1,4,0.184316
900,1,5,0.187857
900,1,6,0.180816
900,1,7,0.181477
900,1,8,0.194727
900,1,9,0.184237
900,1,10,0.183576
900,1,11,0.180896
900,1,12,0.183856
900,1,13,0.197277
900,1,14,0.187617
900,1,15,0.181996
900,1,16,0.182777
900,1,17,0.180106
900,1,18,0.185727
900,1,19,0.182566
900,1,20,0.183087
900,1,21,0.180556
900,1,22,0.182767
900,1,23,0.182327
900,1,24,0.193137
900,1,25,0.184216
900,1,26,0.181987
900,1,27,0.182956
900,1,28,0.181307
900,1,29,0.187306
900,1,30,0.184307
900,1,31,0.183646
900,1,32,0.191477
900,1,33,0.183417
900,1,34,0.179936
900,1,35,0.191097
900,1,36,0.184267
900,1,37,0.181096
900,1,38,0.178016
900,1,39,0.176836
900,1,40,0.189217
900,1,41,0.180866
900,1,42,0.179107
900,1,43,0.178256
900,1,44,0.180316
900,1,45,0.185067
900,1,46,0.180826
900,1,47,0.180896
900,1,48,0.207018
900,1,49,0.192156
900,2,0,0.387593
900,2,1,0.352202
900,2,2,0.316411
900,2,3,0.325721
900,2,4,0.30365
900,2,5,0.321052
900,2,6,0.310271
900,2,7,0.30579
900,2,8,0.301971
900,2,9,0.313871
900,2,10,0.304221
900,2,11,0.308961
900,2,12,0.28868
900,2,13,0.316761
900,2,14,0.29118
900,2,15,0.312321
900,2,16,0.306811
900,2,17,0.29785
900,2,18,0.30555
900,2,19,0.322472
900,2,20,0.30397
900,2,21,0.308
900,2,22,0.314281
900,2,23,0.30272
900,2,24,0.29019
900,2,25,0.283429
900,2,26,0.307491
900,2,27,0.28814
900,2,28,0.2803
900,2,29,0.307871
900,2,30,0.28533
900,2,31,0.28122
900,2,32,0.28006
900,2,33,0.321741
900,2,34,0.29113
900,2,35,0.28387
900,2,36,0.28882
900,2,37,0.314521
900,2,38,0.28811
900,2,39,0.2978
900,2,40,0.3108
900,2,41,0.291841
900,2,42,0.279879
900,2,43,0.29328
900,2,44,0.28402
900,2,45,0.28
900,2,46,0.313321
900,2,47,0.29443
900,2,48,0.28693
900,2,49,0.310561
900,4,0,0.319491
900,4,1,0.326102
900,4,2,0.317271
900,4,3,0.308131
900,4,4,0.30484
900,4,5,0.309111
900,4,6,0.304291
900,4,7,0.29202
900,4,8,0.317221
900,4,9,0.30475
900,4,10,0.29377
900,4,11,0.28848
900,4,12,0.29209
900,4,13,0.290661
900,4,14,0.286201
900,4,15,0.307961
900,4,16,0.300041
900,4,17,0.28658
900,4,18,0.28186
900,4,19,0.331942
900,4,20,0.29672
900,4,21,0.305211
900,4,22,0.305191
900,4,23,0.30151
900,4,24,0.293451
900,4,25,0.312231
900,4,26,0.30428
900,4,27,0.291781
900,4,28,0.28686
900,4,29,0.321091
900,4,30,0.317421
900,4,31,0.299931
900,4,32,0.307831
900,4,33,0.313211
900,4,34,0.312611
900,4,35,0.311021
900,4,36,0.29684
900,4,37,0.29071
900,4,38,0.321672
900,4,39,0.305851
900,4,40,0.29331
900,4,41,0.307041
900,4,42,0.30775
900,4,43,0.3035
900,4,44,0.313721
900,4,45,0.303671
900,4,46,0.29346
900,4,47,0.295301
900,4,48,0.29004
900,4,49,0.29174
900,8,0,0.339862
900,8,1,0.357023
900,8,2,0.336662
900,8,3,0.330541
900,8,4,0.370724
900,8,5,0.342423
900,8,6,0.328721
900,8,7,0.326632
900,8,8,0.318871
900,8,9,0.313741
900,8,10,0.324351
900,8,11,0.324782
900,8,12,0.316251
900,8,13,0.318561
900,8,14,0.339232
900,8,15,0.321662
900,8,16,0.321551
900,8,17,0.316241
900,8,18,0.312881
900,8,19,0.344372
900,8,20,0.336351
900,8,21,0.318891
900,8,22,0.312622
900,8,23,0.318012
900,8,24,0.309171
900,8,25,0.307951
900,8,26,0.324652
900,8,27,0.314991
900,8,28,0.310041
